iter	Passed	Remaining
455	984	1174
456	986	1171
457	987	1168
458	988	1165
459	990	1162
460	995	1164
461	996	1160
462	999	1159
463	1002	1157
464	1003	1154
465	1005	1152
466	1013	1156
467	1015	1153
468	1016	1150
469	1017	1147
470	1018	1143
471	1020	1141
472	1025	1142
473	1028	1141
474	1030	1138
475	1031	1135
476	1032	1131
477	1033	1128
478	1034	1125
479	1040	1127
480	1044	1126
481	1045	1124
482	1047	1120
483	1048	1117
484	1049	1114
485	1050	1111
486	1053	1110
487	1061	1113
488	1068	1116
489	1093	1137
490	1111	1151
491	1115	1152
492	1120	1151
493	1121	1148
494	1122	1145
495	1123	1142
496	1126	1139
497	1129	1138
498	1133	1137
499	1135	1135
500	1139	1134
501	1142	1132
502	1147	1133
503	1148	1130
504	1150	1127
505	1151	1123
506	1152	1120
507	1153	1116
508	1155	1114
509	1157	1112
510	1159	1109
511	1161	1107
512	1163	1104
513	1164	1100
514	1165	1097
515	1166	1094
516	1168	1091
517	1172	1091
518	1175	1089
519	1177	1087
520	1179	1084
521	1181	1081
522	1182	1078
523	1183	1075
524	1190	1076
525	1192	1074
526	1193	1071
527	1194	1068
528	1196	1065
529	1207	1070
530	1209	1068
531	1212	1066
532	1216	1066
533	1219	1064
534	1221	1061
535	1223	1058
536	1227	1058
537	1229	1055
538	1232	1054
539	1235	1052
540	1236	1049
541	1237	1045
542	1239	1042
543	1240	1039
544	1247	1041
545	1249	1038
546	1250	1035
547	1252	1033
548	1253	1029
549	1254	1026
550	1255	1023
551	1256	1019
552	1260	1018
553	1263	1017
554	1265	1014
555	1267	1012
556	1268	1008
557	1269	1005
558	1270	1002
559	1272	999
560	1274	997
561	1276	994
562	1278	992
563	1279	989
564	1280	986
565	1282	983
566	1284	980
567	1290	981
568	1293	979
569	1295	976
570	1296	973
571	1298	971
572	1302	970
573	1305	968
574	1306	965
575	1307	962
576	1310	960
577	1311	957
578	1312	954
579	1317	954
580	1321	952
581	1322	949
582	1323	946
583	1324	943
584	1325	940
585	1336	944
586	1337	941
587	1339	938
588	1340	935
589	1341	932
590	1343	929
591	1348	929
592	1351	927
593	1352	924
594	1353	921
595	1355	918
596	1356	915
597	1357	912
598	1360	910
599	1362	908
600	1367	907
601	1368	905
602	1370	902
603	1371	899
604	1373	896
605	1377	895
606	1380	893
607	1381	890
608	1382	887
609	1383	884
610	1384	881
611	1387	879
612	1395	881
613	1398	878
614	1399	876
615	1400	873
616	1402	870
617	1403	867
618	1415	871
619	1418	869
620	1423	868
621	1425	866
622	1428	864
623	1429	861
624	1430	858
625	1431	855
626	1434	853
627	1442	854
628	1444	851
629	1445	848
630	1446	845
631	1447	843
632	1449	840
633	1450	837
634	1458	838
635	1459	835
636	1460	832
637	1463	830
638	1464	827
639	1468	826
640	1473	825
641	1474	822
642	1476	820
643	1478	817
644	1483	816
645	1486	814
646	1488	811
647	1489	809
648	1490	806
649	1491	803
650	1493	800
651	1502	802
652	1504	799
653	1505	796
654	1506	793
655	1508	790
656	1509	787
657	1510	785
658	1514	783
659	1523	785
660	1530	785
661	1534	783
662	1535	780
663	1537	777
664	1538	774
665	1539	772
666	1542	770
667	1546	768
668	1549	766
669	1551	763
670	1552	761
671	1554	758
672	1560	758
673	1563	756
674	1565	753
675	1566	750
676	1569	749
677	1571	746
678	1573	743
679	1574	740
680	1575	737
681	1576	735
682	1584	735
683	1586	732
684	1587	729
685	1588	727
686	1590	724
687	1591	721
688	1592	718
689	1596	717
690	1599	715
691	1602	713
692	1604	710
693	1605	707
694	1606	705
695	1607	702
696	1614	701
697	1616	699
698	1618	696
699	1619	694
700	1620	691
701	1621	688
702	1625	686
703	1627	684
704	1629	681
705	1631	679
706	1632	676
707	1633	673
708	1635	671
709	1636	668
710	1637	665
711	1645	665
712	1646	662
713	1647	659
714	1648	657
715	1650	654
716	1654	652
717	1656	650
718	1659	648
719	1661	646
720	1663	643
721	1665	641
722	1666	638
723	1672	637
724	1675	635
725	1676	632
726	1677	630
727	1679	627
728	1680	624
729	1681	621
730	1694	623
731	1696	620
732	1697	618
733	1701	616
734	1703	614
735	1706	612
736	1708	609
737	1709	606
738	1710	604
739	1721	604
740	1723	602
741	1724	599
742	1725	596
743	1727	594
744	1728	591
745	1734	590
746	1736	588
747	1739	585
748	1743	584
749	1749	583
750	1750	580
751	1752	577
752	1753	575
753	1756	573
754	1759	570
755	1762	568
756	1763	566
757	1764	563
758	1765	560
759	1767	558
760	1772	556
761	1774	554
762	1776	551
763	1779	549
764	1780	546
765	1781	544
766	1783	541
767	1787	539
768	1789	537
769	1791	534
770	1792	532
771	1793	529
772	1794	526
773	1796	524
774	1797	521
775	1803	520
776	1805	518
777	1806	515
778	1807	512
779	1809	510
780	1810	507
781	1812	505
782	1816	503
783	1820	501
784	1821	498
785	1823	496
786	1824	493
787	1826	491
788	1830	489
789	1832	487
790	1833	484
791	1834	481
792	1836	479
793	1839	477
794	1843	475
795	1848	473
796	1849	471
797	1850	468
798	1851	465
799	1852	463
800	1854	460
801	1857	458
802	1861	456
803	1863	454
804	1865	451
805	1866	449
806	1867	446
807	1869	444
808	1870	441
809	1878	440
810	1889	440
811	1891	437
812	1892	435
813	1893	432
814	1895	430
815	1899	428
816	1903	426
817	1906	424
818	1907	421
819	1909	419
820	1910	416
821	1914	414
822	1918	412
823	1919	410
824	1921	407
825	1922	404
826	1924	402
827	1925	399
828	1927	397
829	1931	395
830	1933	393
831	1935	390
832	1936	388
833	1938	385
834	1939	383
835	1945	381
836	1946	379
837	1948	376
838	1950	374
839	1952	371
840	1953	369
841	1955	366
842	1965	366
843	1966	363
844	1968	360
845	1969	358
